counties,none_care,first_trimester,second_trimester,third_trimester,unknown_care,year,male,female,unknown_gender,singleton,twins,other_multiples,unknown_plural,white_non_hispanic,african_american_non_hispanic,other_non_hispanic,hispanic,gms_0_499,gms_500_1499,gms_1500_2499,gms_2500_8165,unknown_weight,pop
NEW HANOVER,27,1528,604,85,22,2017,1163,1103,0,2193,63,10,0,1491,434,57,284,9,32,160,2064,1,228728
NORTHAMPTON,2,147,39,11,1,2017,96,104,0,191,9,0,0,59,129,4,8,0,7,23,170,0,19890
ONSLOW,112,2828,768,331,21,2017,2049,2011,0,3924,133,3,0,2762,541,131,626,6,39,240,3775,0,195066
ORANGE,12,858,240,56,13,2017,625,554,0,1141,38,0,0,686,161,148,184,1,11,73,1094,0,143626
PAMLICO,2,52,14,4,1,2017,39,34,0,71,2,0,0,53,14,2,4,0,2,7,64,0,12638
PASQUOTANK,5,323,137,20,7,2017,263,229,0,475,17,0,0,254,190,12,36,0,10,33,449,0,39386
PENDER,13,460,147,31,7,2017,330,328,0,632,26,0,0,441,113,12,92,3,13,53,589,0,60719
PERQUIMANS,1,81,34,7,1,2017,62,62,0,124,0,0,0,83,38,1,2,0,1,5,118,0,13439
PERSON,6,260,139,34,4,2017,231,212,0,419,20,4,0,290,120,5,28,3,10,32,398,0,39338
PITT,26,1643,322,46,14,2017,1029,1022,0,1972,70,9,0,894,901,53,203,10,29,178,1834,0,178607
POLK,3,106,22,10,20,2017,76,85,0,155,6,0,0,135,9,4,13,0,5,5,151,0,20564
RANDOLPH,22,1049,408,79,18,2017,793,783,0,1517,56,3,0,1129,106,37,304,5,17,138,1415,1,143037
RICHMOND,17,345,169,35,8,2017,304,270,0,546,28,0,0,277,219,29,49,1,17,68,488,0,44827
ROBESON,91,895,630,124,42,2017,950,832,0,1711,71,0,0,322,380,810,270,7,53,162,1560,0,132626
ROCKINGHAM,15,661,142,37,5,2017,426,434,0,824,33,3,0,600,175,11,74,0,11,76,773,0,90791
ROWAN,37,1002,457,86,6,2017,806,782,0,1529,59,0,0,1008,315,29,236,5,17,116,1450,0,140356
RUTHERFORD,21,485,133,22,28,2017,340,349,0,678,11,0,0,546,90,7,46,1,12,57,618,1,66529
SAMPSON,24,549,183,61,14,2017,423,408,0,812,19,0,0,333,199,22,277,2,16,49,764,0,63263
SCOTLAND,6,309,113,20,7,2017,221,234,0,441,14,0,0,139,221,78,17,0,8,53,394,0,35174
STANLY,7,547,150,27,1,2017,389,343,0,700,32,0,0,561,92,24,55,3,14,58,657,0,61505
STOKES,2,321,60,17,4,2017,176,228,0,392,12,0,0,376,11,6,11,0,4,26,374,0,45724
SURRY,2,561,135,39,1,2017,346,392,0,718,20,0,0,563,29,6,140,0,15,55,668,0,72107
SWAIN,4,107,30,11,0,2017,68,84,0,148,4,0,0,98,1,49,4,0,2,1,149,0,14263
TRANSYLVANIA,4,216,27,4,1,2017,134,118,0,245,7,0,0,210,15,3,24,0,1,15,236,0,33767
TYRRELL,1,30,7,0,0,2017,24,14,0,36,2,0,0,24,6,1,7,0,0,4,34,0,4180
UNION,38,1539,644,149,12,2017,1171,1211,0,2302,71,9,0,1498,311,108,465,7,20,145,2210,0,231350
VANCE,51,322,133,72,6,2017,287,297,0,564,20,0,0,169,329,7,79,0,10,60,513,1,44281
WAKE,200,8543,2977,826,137,2017,6426,6257,0,12199,472,12,0,6677,2709,1290,2007,30,164,829,11658,2,1071706
WARREN,5,113,41,16,1,2017,91,85,0,172,4,0,0,64,88,14,10,0,2,13,161,0,19849
